key_words,key_values,category,section
most scenic,0.22,place,deco
new space,0.22,None,None
overlooking buena,0.22,None,None
ritual has,0.22,None,None
scenic might,0.22,place,deco
sf latest,0.22,None,None
six locations,0.22,None,None
space haight,0.22,place,out
vista park,0.22,place,out
artisan breads,0.23,food,baked
batch brew,0.23,coffee,drinks
batter bakery,0.23,food,baked
breads batter,0.23,food,baked
breads quick,0.23,None,None
brew cold,0.23,coffee,drinks
brew pourovers,0.23,coffee,drinks
cold brew,0.23,coffee,drinks
drinks four,0.23,coffee,drinks
espresso drinks,0.23,coffee,drinks
firebrand artisan,0.23,coffee,drinks
four locations,0.23,None,None
locations plus,0.23,None,None
offers selection,0.23,None,None
pastries firebrand,0.23,food,baked
plus pastries,0.23,food,baked
pourovers espresso,0.23,coffee,drinks
quick breads,0.23,None,None
selection batch,0.23,None,None
bakers excellent,0.28,food,baked
barrelfueled outpost,0.28,None,None
bounty josey,0.28,None,None
bread divisadero,0.28,food,baked
coffee shop,0.28,coffee,None
divisadero coffee,0.28,coffee,None
excellent bread,0.28,food,baked
four barrelfueled,0.28,None,None
highlights bounty,0.28,None,None
josey bakers,0.28,None,None
lightfilled oasis,0.28,None,None
outpost highlights,0.28,None,None
shop lightfilled,0.28,place,stay
arrangements choose,0.32,None,None
communal table,0.32,place,deco
inside several,0.32,None,None
large communal,0.32,None,None
outside large,0.32,place,out
parklet outside,0.32,place,out
roomy parklet,0.32,place,out
seating arrangements,0.32,place,stay
several seating,0.32,place,stay
table inside,0.32,place,deco
array hearty,0.26,place,deco
bread road,0.26,food,baked
espresso pour,0.26,coffee,drinks
grab loaf,0.26,food,baked
hearty toppings,0.26,coffee,None
jam array,0.26,food,baked
loaf bread,0.26,food,baked
order thick,0.26,None,None
over tea,0.26,coffee,drinks
pour over,0.26,coffee,drinks
slathered jam,0.26,food,None
tea grab,0.26,coffee,drinks
thick toast,0.26,food,baked
toast slathered,0.26,food,baked
toppings espresso,0.26,coffee,None
no wifi,1.0,place,wifi
awardwinning coffee,0.28,coffee,sentiment
cho trish,0.28,None,None
coffee fullservice,0.28,coffee,None
fullservice shop,0.28,None,None
nick cho,0.28,None,None
offering awardwinning,0.28,None,None
operating popup,0.28,None,None
