id review,beans,drinks,barista,coffee_sentiment,place_go,wifi,out,decoration,place_sentiment,baked,lunch,breakfast,food_sentiment,rating
1.0,0.0,0.015746912069514455,0.09296696802013683,0.0,0.03142855979881609,0.0,0.0,0.0,0.1307399106732035,0.018955409645307262,0.0,0.1083064885388744,0.0,1.0
2.0,0.0,0.0043420842143242185,0.0,0.0,0.020727836520940082,0.0,0.0,0.0,0.0,0.0,0.0,0.13130643285972254,0.0,1.0
3.0,0.0,0.0,0.0,0.0,0.014795489190987943,0.0,0.018120699506392172,0.0,0.02562653900162726,0.0,0.0,0.0,0.0,1.0
4.0,0.0,0.010434936474906039,0.0,0.025426781540784375,0.042843015745080495,0.0,0.03132149749807348,0.0,0.11327377399900015,0.0,0.019482162504979916,0.0,0.0625,1.0
5.0,0.0,0.011229459126802134,0.0,0.0,0.020769862855546876,0.0,0.01488247611246513,0.0,0.04314307932806433,0.08144092773856862,0.014376800887277974,0.011700103208263897,0.0,1.0
6.0,0.0,0.031562948637947924,0.03266526290040743,0.041725849075351054,0.023380972044492136,0.0,0.0,0.04046073233167132,0.0,0.011486707293408518,0.0,0.016048564016188312,0.0,1.0
7.0,0.0,0.015041420939904668,0.0,0.0,0.02282177322938192,0.0,0.0,0.0,0.0,0.032669591755500785,0.033113308926626096,0.2626128657194451,0.0,1.0
8.0,0.0,0.011943344607731119,0.0,0.0,0.015899099100214337,0.0,0.0,0.0,0.13176156917368248,0.0,0.018422561824131267,0.0,0.0,1.0
9.0,0.0,0.0043127889663212675,0.0,0.017545166585409642,0.011067031740020586,0.0,0.035990144391446516,0.0,0.0,0.008815511995952144,0.0,0.0,0.0,1.0
10.0,0.0,0.0,0.0,0.0,0.013014711523863397,0.0,0.0,0.005899548091284621,0.0,0.0,0.0,0.0,0.0,1.0
11.0,0.0,0.026909580963942182,0.0,0.052387468578959775,0.03904245747952399,0.0,0.054848275573014436,0.020495202382833443,0.058547822970119345,0.0,0.0,0.0,0.0,1.0
12.0,0.0,0.0425435629811517,0.0,0.11043152607484653,0.09128709291752768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
